Outlier,comment_count,down_votes,post_id,reputation,score,up_votes,user_id,view_count,views
reputation,0,28,31291218,21375,0,2064,15825,19,1289
reputation,0,16,35968956,36591,0,243,440602,19,2435
reputation,0,16,34041866,12409,0,450,1019952,9,766
reputation,7,16,37499742,12409,1,450,1019952,17,766
reputation,0,5348,37212604,212764,0,9057,82548,8,18175
reputation,6,97,36488139,31238,0,412,183579,16,1644
reputation,0,18,34602245,10995,0,652,16964,12,1626
reputation,3,18,36456746,10995,0,652,16964,15,1626
reputation,0,18,32917235,10995,0,652,16964,13,1626
reputation,0,176,37700898,32077,1,1115,7512,16,2978
reputation,0,176,37274072,32077,0,1115,7512,18,2978
reputation,0,117,37695339,12034,0,951,493762,11,529
reputation,1,39,37594854,17284,0,2412,539490,8,858
reputation,0,39,37363764,17284,0,2412,539490,14,858
reputation,0,39,37594790,17284,0,2412,539490,10,858
reputation,0,39,37768208,17284,0,2412,539490,10,858
reputation,0,42,34902206,11295,0,545,192993,14,805
reputation,0,0,35895688,15963,0,731,199,19,1122
reputation,0,0,37351643,15963,0,731,199,7,1122
reputation,0,32,37393059,24921,0,2970,33051,15,3241
reputation,0,198,33542204,37327,0,1900,38522,13,2872
reputation,1,198,24763792,37327,0,1900,38522,19,2872
reputation,2,198,35154609,37327,0,1900,38522,18,2872
reputation,0,198,32889015,37327,0,1900,38522,7,2872
reputation,0,198,33732365,37327,0,1900,38522,13,2872
reputation,0,198,34335316,37327,0,1900,38522,18,2872
reputation,0,198,31853183,37327,0,1900,38522,15,2872
reputation,1,198,34162465,37327,1,1900,38522,19,2872
reputation,1,198,31301174,37327,-1,1900,38522,10,2872
reputation,2,198,37729403,37327,0,1900,38522,15,2872
reputation,0,198,36846139,37327,0,1900,38522,6,2872
reputation,0,198,32850215,37327,0,1900,38522,17,2872
reputation,2,198,32328862,37327,-1,1900,38522,18,2872
reputation,0,198,28127067,37327,0,1900,38522,12,2872
reputation,2,198,31304513,37327,0,1900,38522,18,2872
reputation,1,198,33018072,37327,-1,1900,38522,19,2872
reputation,0,198,32507199,37327,0,1900,38522,16,2872
reputation,1,198,36920582,37327,0,1900,38522,14,2872
reputation,0,64,37076074,49689,0,1752,463785,17,4102
reputation,1,21,31573645,16753,0,360,21634,15,1450
reputation,0,796,34719924,41176,0,1793,410636,16,3818
reputation,0,26,37711381,14883,0,239,755,5,575
reputation,1,25,31677626,19360,0,459,3122639,17,632
reputation,0,778,35155919,13466,2,920,789657,13,4388
reputation,0,10,37683705,21421,0,256,24109,5,933
reputation,3,10,24686472,21421,0,256,24109,18,933
reputation,1,25,37394541,10837,0,145,1930219,15,749
reputation,3,484,27375605,28663,0,1577,21061,19,2387
reputation,0,484,35343186,28663,2,1577,21061,17,2387
reputation,2,484,37149731,28663,0,1577,21061,13,2387
reputation,0,194,34476742,49892,0,492,191463,18,2449
reputation,1,194,36572155,49892,1,492,191463,12,2449
reputation,4,46,37080167,17310,1,3414,303612,17,4062
reputation,2,46,37132635,17310,1,3414,303612,15,4062
reputation,1,1,33078084,55042,1,5546,1006010,12,2630
reputation,2,485,31963873,12628,2,5163,940834,18,1792
reputation,0,171,34581020,16933,0,281,2332336,14,1275
reputation,2,171,36182794,16933,0,281,2332336,13,1275
reputation,0,171,37659417,16933,0,281,2332336,12,1275
reputation,0,171,35989686,16933,0,281,2332336,13,1275
reputation,1,85,30646854,38542,1,2078,2071807,19,1978
reputation,0,18,25159341,13543,0,1866,3189,17,702
reputation,0,8,33078690,11815,0,495,51593,13,1979
reputation,2,32,25503699,13154,0,2591,846476,17,762
reputation,0,32,34819144,13154,0,2591,846476,12,762
reputation,0,32,25253387,13154,0,2591,846476,19,762
reputation,0,32,31809898,13154,0,2591,846476,11,762
reputation,0,32,37118519,13154,0,2591,846476,8,762
reputation,0,27,34436640,11315,0,167,120820,16,602
reputation,0,25,35657359,16779,0,1782,361842,19,1691
reputation,2,197,37660293,115343,-1,3682,99834,11,8228
reputation,0,197,37590442,115343,0,3682,99834,16,8228
reputation,4,197,31829286,115343,0,3682,99834,18,8228
reputation,0,197,37481883,115343,0,3682,99834,8,8228
reputation,4,197,37419130,115343,0,3682,99834,9,8228
reputation,0,197,37387820,115343,0,3682,99834,18,8228
reputation,0,197,37360946,115343,0,3682,99834,12,8228
reputation,0,197,36839491,115343,0,3682,99834,18,8228
reputation,0,197,37482139,115343,1,3682,99834,13,8228
reputation,0,197,33961056,115343,0,3682,99834,19,8228
reputation,0,197,36798121,115343,0,3682,99834,14,8228
reputation,0,197,35743281,115343,0,3682,99834,6,8228
reputation,0,197,33131808,115343,0,3682,99834,7,8228
reputation,0,197,36182825,115343,1,3682,99834,16,8228
reputation,1,197,36848864,115343,1,3682,99834,15,8228
reputation,0,197,28238191,115343,-2,3682,99834,18,8228
reputation,1,197,35969187,115343,0,3682,99834,12,8228
reputation,0,197,31473580,115343,0,3682,99834,10,8228
reputation,0,197,32849803,115343,0,3682,99834,6,8228
reputation,3,197,36645933,115343,-1,3682,99834,16,8228
reputation,0,197,37316597,115343,-2,3682,99834,18,8228
reputation,0,45,34917026,12968,0,585,1290545,13,8792
reputation,0,1615,37194265,16309,0,5329,1563422,8,5981
reputation,0,33,37090933,11323,0,1455,2091169,7,975
reputation,0,33,37243082,11323,0,1455,2091169,18,975
reputation,0,33,37537703,11323,0,1455,2091169,14,975
reputation,4,33,37466212,11323,1,1455,2091169,17,975
reputation,5,33,37678055,11323,0,1455,2091169,14,975
reputation,0,33,35329139,11323,0,1455,2091169,11,975
